Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy_Random_k3,17189,2.0782947540283203,0,false,-1,-1.0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy_Probabilistic_alpha0.9,16803,1.0051727294921875,0,false,-1,-1.0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_SimulatedAnnealing,17541,500.4253387451172,10157,false,-1,-1.0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_TabuSearch,17246,1569.3631172180176,1000,false,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_MIP_ORTools,14239,7.207393646240234,0,true,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_MIP_PuLP,14239,59.366703033447266,-1,true,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy_Simple,14235,0.0,0,false,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy_Random_k3,14125,1.1150836944580078,0,false,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy_Probabilistic_alpha0.9,14067,1.0285377502441406,0,false,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_SimulatedAnnealing,14239,720.0767993927002,11701,false,-1,-1.0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_TabuSearch,14239,1399.8363018035889,1000,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_MIP_ORTools,19676,25.176525115966797,0,true,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_MIP_PuLP,19676,78.5219669342041,-1,true,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_Greedy_Simple,19676,0.0,0,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_Greedy_Random_k3,19641,2.1190643310546875,0,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_Greedy_Probabilistic_alpha0.9,14221,1.1818408966064453,0,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_SimulatedAnnealing,19676,602.6153564453125,12288,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_TabuSearch,19676,1856.03928565979,1000,false,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_MIP_ORTools,13472,275.1145362854004,86,true,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_MIP_PuLP,13472,392.7445411682129,-1,true,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_DP,13472,672.2619533538818,228450,true,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy_Simple,13404,1.0056495666503906,0,false,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy_Random_k3,13404,1.194000244140625,0,false,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy_Probabilistic_alpha0.9,11732,2.8467178344726562,0,false,-1,-1.0
